gene_name	gene_id	annotation	tc_CDS	uniq_reads_CDS	cluster_count_CDS	tc_UTR3	uniq_reads_UTR3	cluster_count_UTR3	tc_UTR5	uniq_reads_UTR5	cluster_count_UTR5	tc_transcript	uniq_transcript	cluster_count_transcript
PSMB7	ENSG00000136930.8	protein_coding	10.5	20.5	1	NA	NA	NA	NA	NA	NA	10.5	20.5	1
RAB38	ENSG00000123892.7	protein_coding	10.5	12.5	1	NA	NA	NA	NA	NA	NA	10.5	12.5	1
RHOT2	ENSG00000140983.9	protein_coding	10.5	17	2	NA	NA	NA	NA	NA	NA	10.5	17	2
RPAP3	ENSG00000005175.5	protein_coding	10.5	15.5	1	NA	NA	NA	NA	NA	NA	10.5	15.5	1
RWDD2B	ENSG00000156253.2	protein_coding	10.5	12.5	1	NA	NA	NA	NA	NA	NA	10.5	12.5	1
SEC31B	ENSG00000075826.12	protein_coding	NA	NA	NA	NA	NA	NA	10.5	12.5	1	10.5	12.5	1
SEC61G	ENSG00000132432.9	protein_coding	NA	NA	NA	10.5	12	1	NA	NA	NA	10.5	12	1
SLC25A14	ENSG00000102078.11	protein_coding	NA	NA	NA	10.5	16.5	1	NA	NA	NA	10.5	16.5	1
SLC39A11	ENSG00000133195.7	protein_coding	10.5	18	2	NA	NA	NA	NA	NA	NA	10.5	18	2
TIMM44	ENSG00000104980.3	protein_coding	10.5	15	1	NA	NA	NA	NA	NA	NA	10.5	15	1
TM2D2	ENSG00000169490.12	protein_coding	10.5	13.5	1	NA	NA	NA	NA	NA	NA	10.5	13.5	1
TRIO	ENSG00000038382.13	protein_coding	10.5	13	1	NA	NA	NA	NA	NA	NA	10.5	13	1
TTLL3	ENSG00000214021.11	protein_coding	NA	NA	NA	NA	NA	NA	10.5	15.5	1	10.5	15.5	1
UCHL3	ENSG00000118939.13	protein_coding	10.5	15.5	2	NA	NA	NA	NA	NA	NA	10.5	15.5	2
WBP1	ENSG00000239779.2	protein_coding	10.5	15.5	1	NA	NA	NA	NA	NA	NA	10.5	15.5	1
YBX1	ENSG00000065978.13	protein_coding	10.5	13.5	1	NA	NA	NA	NA	NA	NA	10.5	13.5	1
ZBED3	ENSG00000132846.5	protein_coding	NA	NA	NA	10.5	11	1	NA	NA	NA	10.5	11	1
ZCCHC10	ENSG00000155329.7	protein_coding	NA	NA	NA	10.5	16	1	NA	NA	NA	10.5	16	1
ZNF511	ENSG00000198546.10	protein_coding	NA	NA	NA	10.5	13.5	1	NA	NA	NA	10.5	13.5	1
ZRANB3	ENSG00000121988.13	protein_coding	NA	NA	NA	NA	NA	NA	10.5	15	1	10.5	15	1
ACP1	ENSG00000143727.11	protein_coding	10	10.5	1	NA	NA	NA	NA	NA	NA	10	10.5	1
AQR	ENSG00000021776.6	protein_coding	10	16.5	2	NA	NA	NA	NA	NA	NA	10	16.5	2
ATP5E	ENSG00000124172.5	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	18	1
BBS7	ENSG00000138686.5	protein_coding	10	10.5	1	NA	NA	NA	NA	NA	NA	10	10.5	1
BRCC3	ENSG00000269884.1	protein_coding	10	13	1	NA	NA	NA	NA	NA	NA	10	13	1
C19orf53	ENSG00000104979.4	protein_coding	NA	NA	NA	10	13	1	NA	NA	NA	10	13	1
C20orf27	ENSG00000101220.13	protein_coding	10	11.5	1	NA	NA	NA	NA	NA	NA	10	11.5	1
C8orf33	ENSG00000182307.8	protein_coding	NA	NA	NA	10	12	1	NA	NA	NA	10	12	1
CARD8	ENSG00000105483.12	protein_coding	10	16.5	1	NA	NA	NA	NA	NA	NA	10	16.5	1
CITED2	ENSG00000164442.8	protein_coding	NA	NA	NA	10	13	1	NA	NA	NA	10	13	1
COX18	ENSG00000163626.12	protein_coding	10	11.5	1	NA	NA	NA	NA	NA	NA	10	11.5	1
CYCS	ENSG00000172115.4	protein_coding	NA	NA	NA	10	11.5	1	NA	NA	NA	10	11.5	1
DAGLB	ENSG00000164535.10	protein_coding	NA	NA	NA	10	20.5	1	NA	NA	NA	10	20.5	1
DNASE1L1	ENSG00000267993.2	protein_coding	10	13	2	NA	NA	NA	NA	NA	NA	10	13	2
ECD	ENSG00000122882.6	protein_coding	5	5.5	1	5	7	1	NA	NA	NA	10	12.5	2
EPAS1	ENSG00000116016.9	protein_coding	NA	NA	NA	10	10.5	1	NA	NA	NA	10	10.5	1
EPB41L1	ENSG00000088367.16	protein_coding	NA	NA	NA	10	12.5	1	NA	NA	NA	10	12.5	1
FAM98B	ENSG00000171262.7	protein_coding	10	13	1	NA	NA	NA	NA	NA	NA	10	13	1
GLTSCR2	ENSG00000105373.14	protein_coding	NA	NA	NA	10	16	1	NA	NA	NA	10	16	1
IFT46	ENSG00000269278.1	protein_coding	NA	NA	NA	10	12	1	NA	NA	NA	10	12	1
IL1RAP	ENSG00000196083.5	protein_coding	NA	NA	NA	NA	NA	NA	10	11.5	1	10	11.5	1
KIF21A	ENSG00000139116.13	protein_coding	10	14.5	1	NA	NA	NA	NA	NA	NA	10	14.5	1
MANEAL	ENSG00000185090.10	protein_coding	NA	NA	NA	10	15	1	NA	NA	NA	10	15	1
MCM3AP	ENSG00000160294.6	protein_coding	NA	NA	NA	NA	NA	NA	10	10.5	1	10	10.5	1
MGAT4A	ENSG00000071073.8	protein_coding	10	12	1	NA	NA	NA	NA	NA	NA	10	12	1
MRPL40	ENSG00000185608.4	protein_coding	10	12.5	1	NA	NA	NA	NA	NA	NA	10	12.5	1
MSI1	ENSG00000135097.2	protein_coding	10	14	2	NA	NA	NA	NA	NA	NA	10	14	2
NAA10	ENSG00000268281.1	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	15	2
PARP16	ENSG00000138617.10	protein_coding	10	15	1	NA	NA	NA	NA	NA	NA	10	15	1
PCCB	ENSG00000114054.9	protein_coding	10	22.5	2	NA	NA	NA	NA	NA	NA	10	22.5	2
PDGFRL	ENSG00000104213.8	protein_coding	10	17	2	NA	NA	NA	NA	NA	NA	10	17	2
PLEKHB2	ENSG00000115762.12	protein_coding	10	18	1	NA	NA	NA	NA	NA	NA	10	18	1
PPIE	ENSG00000084072.12	protein_coding	NA	NA	NA	10	12.5	1	NA	NA	NA	10	12.5	1
PPP6R2	ENSG00000100239.11	protein_coding	10	11	1	NA	NA	NA	NA	NA	NA	10	11	1
PSMG4	ENSG00000180822.7	protein_coding	10	14	1	NA	NA	NA	NA	NA	NA	10	14	1
PSPC1	ENSG00000121390.13	protein_coding	6	7	1	NA	NA	NA	NA	NA	NA	10	13	2
PURG	ENSG00000172733.10	protein_coding	10	14.5	1	NA	NA	NA	NA	NA	NA	10	14.5	1
RP11-512M8.5	ENSG00000256861.1	protein_coding	NA	NA	NA	10	13	1	NA	NA	NA	10	13	1
RP11-514O12.4	ENSG00000249141.1	protein_coding	10	13	1	NA	NA	NA	NA	NA	NA	10	13	1
SLC35E2B	ENSG00000189339.7	protein_coding	10	13	1	NA	NA	NA	NA	NA	NA	10	13	1
SNORD16	ENSG00000199673.1	snoRNA	NA	NA	NA	NA	NA	NA	10	32	1	10	32	1
ST20-MTHFS	ENSG00000259332.2	protein_coding	10	12	1	NA	NA	NA	NA	NA	NA	10	12	1
TCF12	ENSG00000140262.13	protein_coding	10	19.5	2	NA	NA	NA	NA	NA	NA	10	19.5	2
TMBIM1	ENSG00000135926.8	protein_coding	10	12	1	NA	NA	NA	NA	NA	NA	10	12	1
TMEM136	ENSG00000181264.4	protein_coding	10	16	1	NA	NA	NA	NA	NA	NA	10	16	1
TMEM60	ENSG00000135211.5	protein_coding	10	13	1	NA	NA	NA	NA	NA	NA	10	13	1
TNFRSF10D	ENSG00000173530.5	protein_coding	10	13.5	1	NA	NA	NA	NA	NA	NA	10	13.5	1
ZNF226	ENSG00000167380.12	protein_coding	NA	NA	NA	10	14	1	NA	NA	NA	10	14	1
ZWILCH	ENSG00000174442.7	protein_coding	5.5	5.5	1	NA	NA	NA	4.5	6.5	1	10	12	2
BOC	ENSG00000144857.10	protein_coding	9.5	13.5	1	NA	NA	NA	NA	NA	NA	9.5	13.5	1
CAV2	ENSG00000105971.10	protein_coding	9.5	15	1	NA	NA	NA	NA	NA	NA	9.5	15	1
CISD2	ENSG00000145354.5	protein_coding	9.5	10.5	1	NA	NA	NA	NA	NA	NA	9.5	10.5	1
CMTM3	ENSG00000140931.15	protein_coding	NA	NA	NA	NA	NA	NA	9.5	12.5	1	9.5	12.5	1
COL25A1	ENSG00000188517.10	protein_coding	9.5	11	1	NA	NA	NA	NA	NA	NA	9.5	11	1
DCHS1	ENSG00000166341.6	protein_coding	9.5	17	2	NA	NA	NA	NA	NA	NA	9.5	17	2
DDA1	ENSG00000130311.6	protein_coding	9.5	17	1	NA	NA	NA	NA	NA	NA	9.5	17	1
FAM69A	ENSG00000154511.7	protein_coding	9.5	15.5	1	NA	NA	NA	NA	NA	NA	9.5	15.5	1
FBXO25	ENSG00000147364.12	protein_coding	NA	NA	NA	9.5	11.5	1	NA	NA	NA	9.5	11.5	1
FTL	ENSG00000087086.9	protein_coding	9.5	11	1	NA	NA	NA	NA	NA	NA	9.5	11	1
GULP1	ENSG00000144366.11	protein_coding	9.5	13	1	NA	NA	NA	NA	NA	NA	9.5	13	1
HSF2	ENSG00000025156.8	protein_coding	9.5	16.5	1	NA	NA	NA	NA	NA	NA	9.5	16.5	1
IDE	ENSG00000119912.11	protein_coding	9.5	17	1	NA	NA	NA	NA	NA	NA	9.5	17	1
IFT57	ENSG00000114446.4	protein_coding	9.5	11.5	1	NA	NA	NA	NA	NA	NA	9.5	11.5	1
LRWD1	ENSG00000161036.6	protein_coding	9.5	15	2	NA	NA	NA	NA	NA	NA	9.5	15	2
MAK16	ENSG00000198042.6	protein_coding	9.5	13	1	NA	NA	NA	NA	NA	NA	9.5	13	1
MKNK2	ENSG00000099875.10	protein_coding	9.5	13.5	1	NA	NA	NA	NA	NA	NA	9.5	13.5	1
MRPS31	ENSG00000102738.6	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	14.5	1
NCOA1	ENSG00000084676.11	protein_coding	9.5	13	1	NA	NA	NA	NA	NA	NA	9.5	13	1
NDUFAF4	ENSG00000123545.5	protein_coding	NA	NA	NA	9.5	20	1	NA	NA	NA	9.5	20	1
NDUFS5	ENSG00000168653.6	protein_coding	NA	NA	NA	9.5	11.5	1	NA	NA	NA	9.5	11.5	1
NIPA1	ENSG00000170113.11	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	15.5	1
PAPSS2	ENSG00000198682.8	protein_coding	9.5	14	2	NA	NA	NA	NA	NA	NA	9.5	14	2
PCSK1N	ENSG00000102109.7	protein_coding	9.5	11.5	1	NA	NA	NA	NA	NA	NA	9.5	11.5	1
PDHA1	ENSG00000131828.9	protein_coding	9.5	14	1	NA	NA	NA	NA	NA	NA	9.5	14	1
PIGB	ENSG00000069943.5	protein_coding	5.5	6.5	1	NA	NA	NA	4	6	1	9.5	12.5	2
PJA2	ENSG00000198961.5	protein_coding	4.5	6	1	NA	NA	NA	5	6	1	9.5	12	2
PNN	ENSG00000100941.4	protein_coding	9.5	12	1	NA	NA	NA	NA	NA	NA	9.5	12	1
PPAP2B	ENSG00000162407.8	protein_coding	9.5	17	2	NA	NA	NA	NA	NA	NA	9.5	17	2
RBM12	ENSG00000244462.3	protein_coding	NA	NA	NA	NA	NA	NA	9.5	12.5	1	9.5	12.5	1
RBM17	ENSG00000134453.11	protein_coding	9.5	15.5	2	NA	NA	NA	NA	NA	NA	9.5	15.5	2
RNF10	ENSG00000022840.11	protein_coding	9.5	18	3	NA	NA	NA	NA	NA	NA	9.5	18	3
RP11-282O18.3	ENSG00000235423.4	antisense	NA	NA	NA	9.5	17	1	NA	NA	NA	9.5	17	1
RYK	ENSG00000163785.8	protein_coding	4	7	1	NA	NA	NA	5.5	7	1	9.5	14	2
S100A11	ENSG00000163191.5	protein_coding	NA	NA	NA	9.5	11	1	NA	NA	NA	9.5	11	1
S1PR3	ENSG00000213694.3	protein_coding	9.5	15	1	NA	NA	NA	NA	NA	NA	9.5	15	1
SKIV2L2	ENSG00000039123.11	protein_coding	9.5	11.5	2	NA	NA	NA	NA	NA	NA	9.5	11.5	2
SLC20A2	ENSG00000168575.5	protein_coding	6.5	11.5	1	3	5.5	1	NA	NA	NA	9.5	17	2
SNF8	ENSG00000159210.5	protein_coding	9.5	11.5	1	NA	NA	NA	NA	NA	NA	9.5	11.5	1
SNORD66	ENSG00000212158.1	snoRNA	9.5	30.5	2	NA	NA	NA	NA	NA	NA	9.5	30.5	2
SNW1	ENSG00000100603.9	protein_coding	9.5	16.5	1	NA	NA	NA	NA	NA	NA	9.5	16.5	1
SQRDL	ENSG00000137767.9	protein_coding	NA	NA	NA	NA	NA	NA	9.5	11.5	1	9.5	11.5	1
SRCAP	ENSG00000080603.12	protein_coding	9.5	13	1	NA	NA	NA	NA	NA	NA	9.5	13	1
SUMO2	ENSG00000188612.7	protein_coding	4	5.5	1	NA	NA	NA	5.5	9.5	1	9.5	15	2
SUSD4	ENSG00000143502.10	protein_coding	9.5	16	1	NA	NA	NA	NA	NA	NA	9.5	16	1
TADA3	ENSG00000171148.9	protein_coding	9.5	16.5	2	NA	NA	NA	NA	NA	NA	9.5	16.5	2
TBRG4	ENSG00000136270.9	protein_coding	9.5	12	1	NA	NA	NA	NA	NA	NA	9.5	12	1
TMEM18	ENSG00000151353.10	protein_coding	5	11	1	NA	NA	NA	NA	NA	NA	9.5	16.5	2
TNFRSF10B	ENSG00000120889.8	protein_coding	9.5	13	1	NA	NA	NA	NA	NA	NA	9.5	13	1
ZNF195	ENSG00000005801.12	protein_coding	9.5	11	1	NA	NA	NA	NA	NA	NA	9.5	11	1
ZNRF3	ENSG00000183579.11	protein_coding	9.5	12.5	1	NA	NA	NA	NA	NA	NA	9.5	12.5	1
ACAT1	ENSG00000075239.9	protein_coding	9	10.5	1	NA	NA	NA	NA	NA	NA	9	10.5	1
ACTA2	ENSG00000107796.8	protein_coding	NA	NA	NA	9	12	1	NA	NA	NA	9	12	1
AGL	ENSG00000162688.11	protein_coding	9	12.5	2	NA	NA	NA	NA	NA	NA	9	12.5	2
AK4	ENSG00000162433.10	protein_coding	NA	NA	NA	9	10.5	1	NA	NA	NA	9	10.5	1
ANO5	ENSG00000171714.10	protein_coding	9	12	2	NA	NA	NA	NA	NA	NA	9	12	2
BRD4	ENSG00000141867.13	protein_coding	9	16	2	NA	NA	NA	NA	NA	NA	9	16	2
C5orf22	ENSG00000082213.13	protein_coding	NA	NA	NA	NA	NA	NA	9	13.5	2	9	13.5	2
C9orf142	ENSG00000148362.6	protein_coding	NA	NA	NA	9	13	1	NA	NA	NA	9	13	1
CDK20	ENSG00000156345.13	protein_coding	9	12.5	1	NA	NA	NA	NA	NA	NA	9	12.5	1
CDK9	ENSG00000136807.7	protein_coding	9	13.5	1	NA	NA	NA	NA	NA	NA	9	13.5	1
CHMP4B	ENSG00000101421.3	protein_coding	9	17.5	1	NA	NA	NA	NA	NA	NA	9	17.5	1
CHP1	ENSG00000187446.7	protein_coding	NA	NA	NA	9	18.5	1	NA	NA	NA	9	18.5	1
CLPB	ENSG00000162129.8	protein_coding	9	16	1	NA	NA	NA	NA	NA	NA	9	16	1
CXCL16	ENSG00000161921.10	protein_coding	9	15	1	NA	NA	NA	NA	NA	NA	9	15	1
EDEM1	ENSG00000134109.6	protein_coding	9	11.5	1	NA	NA	NA	NA	NA	NA	9	11.5	1
EDNRA	ENSG00000151617.11	protein_coding	NA	NA	NA	9	12	1	NA	NA	NA	9	12	1
F8	ENSG00000185010.9	protein_coding	NA	NA	NA	9	9	1	NA	NA	NA	9	9	1
FANCE	ENSG00000112039.3	protein_coding	9	20	1	NA	NA	NA	NA	NA	NA	9	20	1
FAU	ENSG00000149806.6	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	14	1
FBXO3	ENSG00000110429.9	protein_coding	NA	NA	NA	NA	NA	NA	9	14.5	1	9	14.5	1
FLT4	ENSG00000037280.11	protein_coding	9	17.5	1	NA	NA	NA	NA	NA	NA	9	17.5	1
FRAS1	ENSG00000138759.13	protein_coding	9	15	2	NA	NA	NA	NA	NA	NA	9	15	2
GSTO1	ENSG00000148834.8	protein_coding	4	8	1	NA	NA	NA	NA	NA	NA	9	13.5	2
HSDL1	ENSG00000103160.7	protein_coding	9	13	1	NA	NA	NA	NA	NA	NA	9	13	1
HUS1	ENSG00000136273.7	protein_coding	9	10.5	1	NA	NA	NA	NA	NA	NA	9	10.5	1
ITPK1	ENSG00000100605.12	protein_coding	NA	NA	NA	NA	NA	NA	9	12	1	9	12	1
KIAA0368	ENSG00000136813.10	protein_coding	9	13.5	1	NA	NA	NA	NA	NA	NA	9	13.5	1
KIAA1671	ENSG00000197077.8	protein_coding	NA	NA	NA	9	15.5	1	NA	NA	NA	9	15.5	1
KLHL13	ENSG00000003096.9	protein_coding	4	7.5	1	5	7	1	NA	NA	NA	9	14.5	2
KLHL24	ENSG00000114796.11	protein_coding	9	13.5	1	NA	NA	NA	NA	NA	NA	9	13.5	1
LPAR1	ENSG00000198121.9	protein_coding	9	11	1	NA	NA	NA	NA	NA	NA	9	11	1
METTL17	ENSG00000165792.13	protein_coding	9	11.5	1	NA	NA	NA	NA	NA	NA	9	11.5	1
MIDN	ENSG00000167470.8	protein_coding	NA	NA	NA	9	10	1	NA	NA	NA	9	10	1
NAPA	ENSG00000105402.3	protein_coding	NA	NA	NA	9	17	1	NA	NA	NA	9	17	1
NDUFA6	ENSG00000272765.1	protein_coding	NA	NA	NA	9	15	1	NA	NA	NA	9	15	1
NOP56	ENSG00000101361.10	protein_coding	9	13	1	NA	NA	NA	NA	NA	NA	9	13	1
NSUN2	ENSG00000037474.10	protein_coding	3.5	6	1	NA	NA	NA	5.5	7	1	9	13	2
PAPOLA	ENSG00000090060.13	protein_coding	9	12.5	1	NA	NA	NA	NA	NA	NA	9	12.5	1
PDCD6	ENSG00000249915.3	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	13.5	1
PLD2	ENSG00000129219.9	protein_coding	9	12.5	1	NA	NA	NA	NA	NA	NA	9	12.5	1
PTPN13	ENSG00000163629.8	protein_coding	9	11.5	2	NA	NA	NA	NA	NA	NA	9	11.5	2
RAF1	ENSG00000132155.7	protein_coding	NA	NA	NA	NA	NA	NA	9	13.5	1	9	13.5	1
RNF126	ENSG00000070423.13	protein_coding	NA	NA	NA	9	11.5	1	NA	NA	NA	9	11.5	1
RNF157	ENSG00000141576.10	protein_coding	NA	NA	NA	9	9.5	1	NA	NA	NA	9	9.5	1
RPS7	ENSG00000171863.8	protein_coding	NA	NA	NA	NA	NA	NA	9	11	1	9	11	1
RRP9	ENSG00000114767.6	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	14	1
SCN9A	ENSG00000169432.10	protein_coding	9	11.5	1	NA	NA	NA	NA	NA	NA	9	11.5	1
SLC9A3R1	ENSG00000109062.5	protein_coding	9	17	1	NA	NA	NA	NA	NA	NA	9	17	1
SNAP29	ENSG00000099940.7	protein_coding	NA	NA	NA	9	11.5	1	NA	NA	NA	9	11.5	1
SNORD38B	ENSG00000207421.1	snoRNA	9	12	1	NA	NA	NA	NA	NA	NA	9	12	1
TCEB2	ENSG00000103363.10	protein_coding	NA	NA	NA	9	9.5	1	NA	NA	NA	9	9.5	1
TGFB1	ENSG00000105329.5	protein_coding	9	13	2	NA	NA	NA	NA	NA	NA	9	13	2
TMTC1	ENSG00000133687.11	protein_coding	9	18.5	1	NA	NA	NA	NA	NA	NA	9	18.5	1
TNFRSF19	ENSG00000127863.11	protein_coding	NA	NA	NA	NA	NA	NA	9	50.5	1	9	50.5	1
TNPO1	ENSG00000083312.13	protein_coding	9	17	2	NA	NA	NA	NA	NA	NA	9	17	2
TPP2	ENSG00000134900.7	protein_coding	9	16	1	NA	NA	NA	NA	NA	NA	9	16	1
TRUB2	ENSG00000167112.7	protein_coding	9	11	1	NA	NA	NA	NA	NA	NA	9	11	1
TUB	ENSG00000166402.4	protein_coding	NA	NA	NA	9	9	1	NA	NA	NA	9	9	1
TXNL1	ENSG00000091164.8	protein_coding	NA	NA	NA	NA	NA	NA	9	17	1	9	17	1
VAPA	ENSG00000101558.9	protein_coding	9	14.5	2	NA	NA	NA	NA	NA	NA	9	14.5	2
WDR11	ENSG00000120008.11	protein_coding	9	10	1	NA	NA	NA	NA	NA	NA	9	10	1
WDR34	ENSG00000119333.7	protein_coding	9	10	1	NA	NA	NA	NA	NA	NA	9	10	1
WSB1	ENSG00000109046.10	protein_coding	5	5	1	4	7	1	NA	NA	NA	9	12	2
ZMAT2	ENSG00000146007.6	protein_coding	NA	NA	NA	9	11.5	1	NA	NA	NA	9	11.5	1
ZNF385A	ENSG00000161642.13	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	20.5	1
ZZEF1	ENSG00000074755.10	protein_coding	9	15	1	NA	NA	NA	NA	NA	NA	9	15	1
ABCB6	ENSG00000115657.8	protein_coding	8.5	16	2	NA	NA	NA	NA	NA	NA	8.5	16	2
ANAPC2	ENSG00000176248.7	protein_coding	8.5	11.5	1	NA	NA	NA	NA	NA	NA	8.5	11.5	1
ANKRD46	ENSG00000186106.7	protein_coding	NA	NA	NA	8.5	10	1	NA	NA	NA	8.5	10	1
AP3M2	ENSG00000070718.7	protein_coding	8.5	12	1	NA	NA	NA	NA	NA	NA	8.5	12	1
APOBEC3G	ENSG00000239713.3	protein_coding	8.5	15	1	NA	NA	NA	NA	NA	NA	8.5	15	1
ARL2BP	ENSG00000102931.3	protein_coding	NA	NA	NA	8.5	11	1	NA	NA	NA	8.5	11	1
ARMC10	ENSG00000170632.9	protein_coding	8.5	11.5	1	NA	NA	NA	NA	NA	NA	8.5	11.5	1
BCKDHB	ENSG00000083123.10	protein_coding	8.5	10.5	1	NA	NA	NA	NA	NA	NA	8.5	10.5	1
C1orf159	ENSG00000131591.13	protein_coding	8.5	17.5	1	NA	NA	NA	NA	NA	NA	8.5	17.5	1
C6orf120	ENSG00000185127.5	protein_coding	8.5	14	1	NA	NA	NA	NA	NA	NA	8.5	14	1
CACNB2	ENSG00000165995.14	protein_coding	8.5	48	1	NA	NA	NA	NA	NA	NA	8.5	48	1
CALM3	ENSG00000160014.12	protein_coding	4	6	1	NA	NA	NA	4.5	6.5	1	8.5	12.5	2
CEP350	ENSG00000135837.11	protein_coding	8.5	12	1	NA	NA	NA	NA	NA	NA	8.5	12	1
CGREF1	ENSG00000138028.10	protein_coding	NA	NA	NA	NA	NA	NA	8.5	12.5	1	8.5	12.5	1
EFCAB7	ENSG00000203965.8	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	12	1
ENY2	ENSG00000120533.8	protein_coding	NA	NA	NA	8.5	18.5	1	NA	NA	NA	8.5	18.5	1
ETFDH	ENSG00000171503.7	protein_coding	8.5	10.5	1	NA	NA	NA	NA	NA	NA	8.5	10.5	1
FAM172A	ENSG00000113391.12	protein_coding	NA	NA	NA	8.5	9.5	1	NA	NA	NA	8.5	9.5	1
FARP1	ENSG00000152767.11	protein_coding	4.5	5.5	1	4	5.5	1	NA	NA	NA	8.5	11	2
FBXL4	ENSG00000112234.4	protein_coding	5	6	1	NA	NA	NA	NA	NA	NA	8.5	12	2
FURIN	ENSG00000140564.6	protein_coding	8.5	13	1	NA	NA	NA	NA	NA	NA	8.5	13	1
GFM2	ENSG00000164347.13	protein_coding	8.5	11	1	NA	NA	NA	NA	NA	NA	8.5	11	1
GGA1	ENSG00000100083.14	protein_coding	8.5	14	1	NA	NA	NA	NA	NA	NA	8.5	14	1
GLB1L	ENSG00000163521.11	protein_coding	8.5	11.5	2	NA	NA	NA	NA	NA	NA	8.5	11.5	2
GNAL	ENSG00000141404.11	protein_coding	NA	NA	NA	8.5	14	1	NA	NA	NA	8.5	14	1
HECTD1	ENSG00000092148.8	protein_coding	8.5	8.5	1	NA	NA	NA	NA	NA	NA	8.5	8.5	1
HES1	ENSG00000114315.3	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	18	1
HIST1H1D	ENSG00000124575.5	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	10	1
HIST1H4L	ENSG00000198558.2	protein_coding	8.5	13.5	1	NA	NA	NA	NA	NA	NA	8.5	13.5	1
HK1	ENSG00000156515.17	protein_coding	4.5	9	1	4	7	1	NA	NA	NA	8.5	16	2
HLCS	ENSG00000159267.10	protein_coding	8.5	11.5	1	NA	NA	NA	NA	NA	NA	8.5	11.5	1
IPO9	ENSG00000198700.5	protein_coding	8.5	10	1	NA	NA	NA	NA	NA	NA	8.5	10	1
IQGAP3	ENSG00000183856.6	protein_coding	8.5	16.5	1	NA	NA	NA	NA	NA	NA	8.5	16.5	1
KIAA0319L	ENSG00000142687.13	protein_coding	8.5	8.5	1	NA	NA	NA	NA	NA	NA	8.5	8.5	1
KIF1B	ENSG00000054523.12	protein_coding	NA	NA	NA	8.5	9.5	1	NA	NA	NA	8.5	9.5	1
MAP2K1	ENSG00000169032.5	protein_coding	NA	NA	NA	8.5	10	1	NA	NA	NA	8.5	10	1
MAP7D3	ENSG00000129680.11	protein_coding	8.5	12	1	NA	NA	NA	NA	NA	NA	8.5	12	1
MCOLN3	ENSG00000055732.8	protein_coding	NA	NA	NA	8.5	12	1	NA	NA	NA	8.5	12	1
METTL2A	ENSG00000087995.11	protein_coding	8.5	11.5	1	NA	NA	NA	NA	NA	NA	8.5	11.5	1
MFAP1	ENSG00000140259.6	protein_coding	NA	NA	NA	8.5	10	1	NA	NA	NA	8.5	10	1
MRPL38	ENSG00000204316.8	protein_coding	8.5	9	1	NA	NA	NA	NA	NA	NA	8.5	9	1
MRPS27	ENSG00000113048.12	protein_coding	8.5	10.5	1	NA	NA	NA	NA	NA	NA	8.5	10.5	1
MYBBP1A	ENSG00000132382.10	protein_coding	8.5	10	1	NA	NA	NA	NA	NA	NA	8.5	10	1
NUMB	ENSG00000133961.15	protein_coding	8.5	16.5	1	NA	NA	NA	NA	NA	NA	8.5	16.5	1
PDE6D	ENSG00000156973.9	protein_coding	8.5	10	1	NA	NA	NA	NA	NA	NA	8.5	10	1
PDLIM5	ENSG00000163110.10	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	12	1
PI4KB	ENSG00000143393.12	protein_coding	8.5	12.5	1	NA	NA	NA	NA	NA	NA	8.5	12.5	1
PLXND1	ENSG00000004399.8	protein_coding	8.5	15	1	NA	NA	NA	NA	NA	NA	8.5	15	1
PNPLA6	ENSG00000032444.11	protein_coding	5	7	1	3.5	6	1	NA	NA	NA	8.5	13	2
POLE3	ENSG00000148229.8	protein_coding	NA	NA	NA	8.5	11.5	1	NA	NA	NA	8.5	11.5	1
POLR2I	ENSG00000105258.4	protein_coding	8.5	9.5	1	NA	NA	NA	NA	NA	NA	8.5	9.5	1
POP4	ENSG00000105171.5	protein_coding	8.5	11.5	1	NA	NA	NA	NA	NA	NA	8.5	11.5	1
PPIC	ENSG00000168938.5	protein_coding	8.5	12	1	NA	NA	NA	NA	NA	NA	8.5	12	1
PPP1CA	ENSG00000172531.10	protein_coding	8.5	12	2	NA	NA	NA	NA	NA	NA	8.5	12	2
PRPF3	ENSG00000265228.1	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	13	1
PRRC2B	ENSG00000130723.13	protein_coding	NA	NA	NA	4	6.5	1	4.5	6	1	8.5	12.5	2
RAD51AP1	ENSG00000111247.10	protein_coding	NA	NA	NA	8.5	9.5	1	NA	NA	NA	8.5	9.5	1
